week,Unnamed: 0,Unnamed: 0.1,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000,month,year,distance_km,cumulative_distance_km
95,4543,4543,20190.0,107.0,14178978.0,83612.34999999996,1393.539166666666,13.889999999999999,49,14147,20.19,14178.978000000001
28,1274,1274,20500.0,120.0,3683249.0,21441.370000000003,357.35616666666664,3.5777616666666665,28,14140,20.5,3683.249
126,6034,6034,20502.0,143.58999999999997,17767076.0,105656.80999999995,1760.9468333333332,17.54,14,14154,20.502000000000002,17767.076
23,1029,1029,21000.0,110.0,3060099.0,18024.960000000003,300.41599999999994,3.0078933333333335,21,14140,21.0,3060.099
114,5488,5488,21490.0,140.71,16393380.0,96279.02999999996,1604.6504999999995,15.984000000000002,77,14147,21.490000000000002,16393.379999999997
66,3115,3115,21760.0,119.78999999999999,7359387.0,41319.07,688.6511666666665,6.897845,84,14140,21.76,7359.387000000001
5,182,182,21900.0,119.38,579749.0,3066.8,51.113333333333344,0.5127999999999997,77,14133,21.9,579.749
25,1127,1127,22300.0,126.0,3393999.0,19783.27,329.7211666666666,3.301411666666666,21,14140,22.3,3393.999
139,3806,3806,22515.0,176.47,11055614.0,66390.68999999997,1106.511500000001,11.020833333333332,20,8088,22.515,11055.614000000001
27,1225,1225,22850.0,119.3,3566149.0,20759.370000000003,345.98949999999996,3.464095,26,14140,22.85,3566.149
63,3388,3388,23360.0,128.05,7835806.0,44070.74000000001,734.5123333333335,7.3560566666666665,95,16160,23.360000000000003,7835.8060000000005
112,5383,5383,23500.0,133.85,16090404.0,94513.45999999995,1575.224333333333,15.692,77,14147,23.5,16090.404000000002
84,3997,3997,23890.0,127.2,11419464.0,64624.79,1077.079833333333,10.794131666666667,30,14147,23.89,11419.464
110,5285,5285,24008.0,182.87,15810753.0,92843.73999999993,1547.3956666666663,15.415833333333335,70,14147,24.008,15810.753000000002
131,6279,6279,24151.0,171.7,18564025.0,110980.23999999998,1849.6706666666673,18.422833333333333,21,14154,24.151,18564.024999999998
98,4690,4690,24331.0,152.49,14572415.0,85858.38999999997,1430.9731666666667,14.261499999999998,56,14147,24.331,14572.414999999997
19,826,826,24500.0,151.25,2330699.0,13443.960000000001,224.06599999999997,2.24346,14,14140,24.5,2330.6989999999996
30,1372,1372,24790.0,131.3,3981839.0,23084.170000000002,384.73616666666663,3.851961666666666,28,14140,24.79,3981.8390000000004
60,2856,2856,25027.0,140.78,6429829.0,36230.380000000005,603.8396666666667,6.045929999999999,77,14140,25.027,6429.829000000001
85,4046,4046,26008.0,142.51,11515258.0,65138.669999999984,1085.6444999999997,10.880045,35,14147,26.008,11515.258
109,5236,5236,26540.0,154.9,15653713.0,91718.17999999998,1528.636333333333,15.229166666666666,70,14147,26.54,15653.712999999996
78,3703,3703,26550.0,139.85,10449488.0,58610.57000000002,976.8428333333327,9.789961666666665,21,14147,26.549999999999997,10449.488000000001
7,238,238,27750.0,137.0,790449.0,4148.9400000000005,69.14900000000002,0.6933566666666663,77,14133,27.75,790.449
4,133,133,28000.0,132.82,401649.0,2143.46,35.724333333333334,0.35830999999999974,73,14133,28.0,401.64900000000006
14,581,581,28000.0,208.31,1279699.0,6952.590000000002,115.87650000000002,1.1607649999999996,29,14138,28.0,1279.699
56,2653,2653,28160.0,144.3,5546129.0,31258.24000000001,520.9706666666666,5.215506666666667,70,14140,28.159999999999997,5546.129
73,3458,3458,28369.0,157.07999999999998,9121805.0,51352.73,855.878833333333,8.576055,14,14147,28.369,9121.805
